page_number,listing_number,title,location,address,description,bedrooms,bathrooms,parking spaces,size,price,listing_link,agency
15,116931231,1 Bedroom Apartment / Flat,Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi","A modern off-plan residential development located in the prime Kileleshwa area, offering",1,1,1,65 m²,KSh 5 110 000,https://www.property24.co.ke/1-bedroom-apartment-flat-to-rent-in-kileleshwa-116931231,Trisums Investments Co. Ltd
15,116967810,3 Bedroom Apartment / Flat,Spring Valley,"General Mathenge Drive Spring Valley, Spring Valley, Nairobi","3 Bedroom Apartment for rent in Westlands

We presents this apartment which provides",3,3,2,150 m²,KSh 150 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-spring-valley-116967810,
15,116978140,4 Bedroom Townhouse,Runda,"QRXH+H9R Kiambu, Runda, Nairobi","Well nestled within a gated compound in a serene neighbourhood in New Runda ,this 4 bedroom",4,4.5,2,400 m²,KSh 360 000,https://www.property24.co.ke/4-bedroom-townhouse-to-rent-in-runda-116978140,Shieldon Relocators
15,116978012,4 Bedroom Townhouse,Runda,"Runda Kitisuru, Runda, Nairobi","Nestled in a serene neighbourhood in Runda ,this 4 bedroom villa boast a lush green garden",4,4.5,2,500 m²,KSh 450 000,https://www.property24.co.ke/4-bedroom-townhouse-to-rent-in-runda-116978012,Shieldon Relocators
15,116977970,5 Bedroom Townhouse,Runda,"Runda Kitisuru, Runda, Nairobi","Nestled in a serene neighbourhood in Runda ,this 5 bedroom villa boast a lush green",5,5.5,2,550 m²,KSh 450 000,https://www.property24.co.ke/5-bedroom-townhouse-to-rent-in-runda-116977970,Shieldon Relocators
15,116928789,3 Bedroom Apartment / Flat,Parklands,"Parklands Nairobi, Parklands, Nairobi",Located in the serene and highly sought-after neighborhood of Parklands is this spacious,3,3,3,121 m²,KSh 125 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-parklands-116928789,Trisums Investments Co. Ltd
15,116928761,3 Bedroom Apartment / Flat,Parklands,"Parklands Nairobi, Parklands, Nairobi",Located in the serene and highly sought-after neighborhood of Parklands is this spacious,3,3,2,121 m²,KSh 125 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-parklands-116928761,Trisums Investments Co. Ltd
15,116978905,3 Bedroom Apartment / Flat,Kileleshwa,"Othaya Rd Nairobi, Kileleshwa, Nairobi","Now letting 3 bedroom Master ensuite
Master bedroom with a ,in",3,3,2,121 m²,KSh 85 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kileleshwa-116978905,
15,116987465,3 Bedroom Apartment / Flat,Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",Welcome to this spacious and well-maintained 3-bedroom apartment located in the serene and,3,3,2,100 m²,KSh 125 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-riverside-116987465,Core Realtors
15,116987198,2 Bedroom Apartment / Flat,Westlands,"126 Rhapta Road, Westlands, Nairobi","This apartment has the following features;
(i)	It has 2 bedrooms, both en-suite with an",2,2.5,2,180 m²,KSh 160 000,https://www.property24.co.ke/2-bedroom-apartment-flat-to-rent-in-westlands-116987198,Talma Homes
